username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_sku_1,Q_sku_2,Q_sku_3,Q_vic_1,Q_vic_2,Q_vic_3,Q_met_1,Q_met_2,Q_met_3,Q_mus_1,question1,Q_mus_2,Q_mus_3,Q_spa_1,Q_spa_2,Q_spa_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Skull Evolution Filter, memory questions","rt_Victorian High Street Filter, memory questions","rt_Science Experiment Filter, memory questions","rt_Reflections of an Artist Filter, memory questions","rt_Satellite Launcher Filter, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,"survey_page_changed_to_Reflections of an Artist Filter, memory questions","order_Reflections of an Artist Filter, memory questions","survey_page_changed_to_Skull Evolution Filter, memory questions","order_Skull Evolution Filter, memory questions","survey_page_changed_to_Science Experiment Filter, memory questions","order_Science Experiment Filter, memory questions","survey_page_changed_to_Victorian High Street Filter, memory questions","order_Victorian High Street Filter, memory questions","survey_page_changed_to_Satellite Launcher Filter, memory questions",internal_id,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"order_Satellite Launcher Filter, memory questions",rt_general info_1,"survey_page_changed_to_Skull Evolution Filter, memory questions_1","rt_Skull Evolution Filter, memory questions_1","survey_page_changed_to_Science Experiment Filter, memory questions_1","rt_Science Experiment Filter, memory questions_1","survey_page_changed_to_Satellite Launcher Filter, memory questions_1","rt_Satellite Launcher Filter, memory questions_1","survey_page_changed_to_Victorian High Street Filter, memory questions_1","rt_Victorian High Street Filter, memory questions_1",pageNumber,order_general info_1,testxr_participant_id,testxr_uuid,rt_general info_1_2,"order_Skull Evolution Filter, memory questions_1"
﻿,0,,,2023-05-10 11:03:58.959949,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,60dddafcba71ad145265250d,,,1,1,-1,-2,1,-2,1,1,1,-2,,1,1,1,-2,1,13,8,4,34,30,,32,32,,173,2m:53s,AnonymousUser,60dddafcba71ad145265250d,64413a0d54e71805ea2a1795,645b6bef87c4262266a4a211,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=60dddafcba71ad145265250d&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b6bef87c4262266a4a211,1,13,2,21,3,121,7,55,5,153,,25,4,89,14906,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 11:04:56.254986,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,63fbd3e8b4865c6e1fb04614,,,,1,1,1,-3,-2,,1,-1,-1,,-2,-1,1,-3,1,52,7,3,33,22,11,,25,6,168,2m:48s,AnonymousUser,63fbd3e8b4865c6e1fb04614,64413a0d54e71805ea2a1795,645b6bccbf9dd5659fe7e519,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=63fbd3e8b4865c6e1fb04614&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b6bccbf9dd5659fe7e519,1,58,2,65,3,159,,68,4,101,5,137,7,112,14907,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:29:12.140598,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,63d7de85322e004c047bf812,,,1,1,1,-1,-3,-2,-1,1,-1,-3,,-3,-1,-1,-2,-1,15,5,5,30,26,,26,28,1,185,3m:5s,AnonymousUser,63d7de85322e004c047bf812,64413a0d54e71805ea2a1795,645b7fdf71d18dcefca41674,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=63d7de85322e004c047bf812&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b7fdf71d18dcefca41674,1,17,2,22,3,113,7,28,4,139,,58,5,85,14909,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:29:14.343762,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,5ef7c6094ffead5091899f98,,,,-2,-1,-1,-1,1,,-3,1,-3,,-2,1,-2,1,-1,5,11,49,22,42,,21,12,,174,2m:54s,AnonymousUser,5ef7c6094ffead5091899f98,64413a0d54e71805ea2a1795,645b7fefcde2486082a0fbbc,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=5ef7c6094ffead5091899f98&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b7fefcde2486082a0fbbc,1,5,2,16,3,65,4,140,7,162,,98,6,86,14910,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:29:38.549530,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5eaa96b3baf147000874351f,,,-2,1,1,1,1,-2,-2,-1,-1,1,,-3,-1,-1,-1,1,22,16,8,39,43,24,28,,,202,3m:22s,AnonymousUser,5eaa96b3baf147000874351f,64413b04f9885d4cc8821c4a,645b800070266c1426065f36,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5eaa96b3baf147000874351f&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b800070266c1426065f36,1,22,2,38,3,153,7,47,4,86,5,110,6,181,14911,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:29:50.768636,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,60b8fb929701cb52b39796aa,,,1,1,-2,-3,-1,-3,,1,1,1,,-3,-3,-3,-2,-2,15,10,5,25,18,17,21,,25,144,2m:24s,AnonymousUser,60b8fb929701cb52b39796aa,64413a0d54e71805ea2a1795,645b8009a10837d7099b0546,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=60b8fb929701cb52b39796aa&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b8009a10837d7099b0546,1,15,2,42,3,47,4,104,7,87,6,69,5,129,14912,37,5,,,,12,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:07.827234,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,6026b621a46afb3bc557fe0b,,,-2,-3,-1,-1,,1,,1,-3,,,-2,-1,-2,-3,-2,5,10,2,65,32,,41,17,,185,3m:5s,AnonymousUser,6026b621a46afb3bc557fe0b,64413beb7a2d6b000b31e13a,645b80360b8a20f68f5cef4e,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=6026b621a46afb3bc557fe0b&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b80360b8a20f68f5cef4e,1,5,2,15,3,131,7,17,4,172,,82,5,114,14913,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:16.044705,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,637fe4f5c2488615a6910c9d,,,-1,-2,-1,1,1,1,,1,1,-3,,-3,1,-1,1,-3,39,22,11,138,132,144,,31,,598,9m:58s,AnonymousUser,637fe4f5c2488615a6910c9d,64413b04f9885d4cc8821c4a,645b80049a7f25982678c3c1,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=637fe4f5c2488615a6910c9d&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b80049a7f25982678c3c1,1,39,2,61,3,517,,348,6,72,4,216,5,486,14914,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:25.527896,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,58404fd8ad98e40001ce915f,,,1,-3,1,-2,1,-2,-2,-1,-3,-2,,-2,1,1,-1,-1,41,15,7,40,47,,35,59,,334,5m:34s,AnonymousUser,58404fd8ad98e40001ce915f,64413beb7a2d6b000b31e13a,645b80177db60342ff27e0ed,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=58404fd8ad98e40001ce915f&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b80177db60342ff27e0ed,1,41,2,56,3,122,5,204,7,244,,157,6,63,14915,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:28.622738,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,63e51def9a3d96f1279b2de7,,,1,-1,-1,1,-1,-2,1,1,-1,1,,-3,1,-2,1,-2,8,9,4,,25,37,33,18,1,185,3m:5s,AnonymousUser,63e51def9a3d96f1279b2de7,64413a0d54e71805ea2a1795,645b803999ad7a9baa486722,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=63e51def9a3d96f1279b2de7&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b803999ad7a9baa486722,1,9,2,18,3,23,4,136,,56,5,93,6,118,14916,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:34.100659,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5e3ddcf95556b204cb143eab,,,1,1,1,1,1,-2,-2,-2,-1,-1,,1,-2,-2,-2,1,9,9,3,22,19,,30,19,,127,2m:7s,AnonymousUser,5e3ddcf95556b204cb143eab,64413beb7a2d6b000b31e13a,645b803824b86aeda4d67d4c,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5e3ddcf95556b204cb143eab&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b803824b86aeda4d67d4c,1,9,2,18,3,22,4,90,7,112,,71,6,52,14917,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:39.616151,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,63f78f511969d7e1b13907e4,,,1,1,1,1,1,-2,-1,1,1,-1,,1,-3,1,1,1,23,11,39,38,24,,19,8,,194,3m:14s,AnonymousUser,63f78f511969d7e1b13907e4,64413b954466c8a7f2cb51d1,645b80137cb0805aa3cb2417,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=63f78f511969d7e1b13907e4&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b80137cb0805aa3cb2417,1,24,2,35,3,74,4,93,5,164,,132,6,156,14918,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:55.928156,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,5f2af839a305a14710244716,,,1,1,1,-2,1,-2,1,1,1,1,,,-1,-2,-2,-1,18,12,8,110,73,118,,38,1,408,6m:48s,AnonymousUser,5f2af839a305a14710244716,64413a0d54e71805ea2a1795,645b805028fea1921f45f512,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=5f2af839a305a14710244716&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b805028fea1921f45f512,1,19,2,31,3,379,,196,6,40,4,306,7,158,14919,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:30:58.977803,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,5ea950e4befef302772be716,,,,1,1,-1,-1,-2,,-3,-3,-3,,-2,1,1,-2,1,8,8,2,,17,11,16,23,,97,1m:37s,AnonymousUser,5ea950e4befef302772be716,64413b954466c8a7f2cb51d1,645b805fc057147d78a9114a,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=5ea950e4befef302772be716&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b805fc057147d78a9114a,1,8,2,16,3,35,5,85,,74,7,18,4,51,14920,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:04.926085,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,5fe9284c2c2ee63925e41e5d,,,1,1,-1,-2,1,-2,1,-2,1,-2,,1,1,-3,-2,-1,23,10,53,42,,32,49,38,,271,4m:31s,AnonymousUser,5fe9284c2c2ee63925e41e5d,64413a0d54e71805ea2a1795,645b805fc057147d78a91149,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=5fe9284c2c2ee63925e41e5d&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b805fc057147d78a91149,1,23,2,33,3,162,6,120,5,87,4,249,,211,14921,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:06.816359,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,613b59f7cf0783b4487f0f77,,,,1,-3,-1,,1,,1,-2,-2,,1,1,1,1,-2,22,7,5,27,32,14,,33,,173,2m:53s,AnonymousUser,613b59f7cf0783b4487f0f77,64413beb7a2d6b000b31e13a,645b80474586a623a8d0b8ae,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=613b59f7cf0783b4487f0f77&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b80474586a623a8d0b8ae,1,22,2,29,3,140,,34,4,126,7,61,5,93,14922,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:10.199131,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,60dd27004a74c325f5b22e17,,,1,-1,1,-3,1,-2,-2,1,1,1,,1,-1,-2,1,-1,21,14,2,34,35,13,29,,,188,3m:8s,AnonymousUser,60dd27004a74c325f5b22e17,64413b954466c8a7f2cb51d1,645b805fdbbdd38c90a75a41,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=60dd27004a74c325f5b22e17&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b805fdbbdd38c90a75a41,1,21,2,35,3,107,6,38,4,136,7,72,5,149,14923,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:16.793312,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,62c5d0cfdf443d24e054d302,,,1,1,-1,-1,1,-2,1,1,1,1,,-3,1,1,-2,1,11,14,4,,33,26,32,53,,197,3m:17s,AnonymousUser,62c5d0cfdf443d24e054d302,64413b04f9885d4cc8821c4a,645b806d21a361e8eac2d0f2,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=62c5d0cfdf443d24e054d302&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b806d21a361e8eac2d0f2,1,11,2,25,3,141,7,173,,115,6,29,4,62,14924,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:20.136542,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5f426d0108e4b944b4baad44,,,1,1,1,1,1,-2,1,1,1,1,,-2,1,1,-2,1,31,7,9,31,,16,26,55,,194,3m:14s,AnonymousUser,5f426d0108e4b944b4baad44,64413beb7a2d6b000b31e13a,645b802f6a1940e69f493e81,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5f426d0108e4b944b4baad44&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b802f6a1940e69f493e81,1,31,2,38,3,47,4,146,7,73,5,177,,90,14925,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:20.972202,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5f262b3018c68e27aebdd170,,,,-3,-1,-3,-3,1,,1,-1,-1,,-2,1,-2,-2,1,7,12,2,13,30,10,,261,,356,5m:56s,AnonymousUser,5f262b3018c68e27aebdd170,64413b04f9885d4cc8821c4a,645b8077f11903a6eb5fc525,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5f262b3018c68e27aebdd170&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b8077f11903a6eb5fc525,1,7,2,19,3,335,,61,6,51,5,21,4,74,14926,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:31.548056,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,5a840fcfb093f80001a7cf78,,,,-1,1,-2,1,1,,-2,-1,1,,-2,-1,-2,-1,-1,85,18,3,13,,31,20,33,,224,3m:44s,AnonymousUser,5a840fcfb093f80001a7cf78,64413b04f9885d4cc8821c4a,645b8038cf0c040e7478c3ed,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=5a840fcfb093f80001a7cf78&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b8038cf0c040e7478c3ed,1,85,2,103,3,170,6,190,7,106,4,203,,137,14927,,,,,5,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 12:31:33.518648,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,5c158ec0c6b01c0001bcfa72,,,1,1,1,-2,-1,1,1,1,1,-3,,-2,-1,1,1,-1,14,16,20,55,60,,61,62,,327,5m:27s,AnonymousUser,5c158ec0c6b01c0001bcfa72,64413beb7a2d6b000b31e13a,645b80382ae1a41492b091f8,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5c158ec0c6b01c0001bcfa72&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b80382ae1a41492b091f8,1,14,2,30,3,110,5,233,7,288,,50,4,171,14928,,,,,6,,,,,,,,,,,,,,,
