username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_res_1,Q_res_2,Q_res_3,Q_hum_1,Q_hum_2,Q_hum_3,Q_ani_1,Q_ani_2,Q_ani_3,Q_lif_1,Q_lif_2,Q_lif_3,Q_dee_1,Q_dee_2,Q_dee_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Restoring a Coral Reef, memory questions","rt_Hummingbird, memory questions","rt_Animal Encounter, memory questions","rt_Life of a Tree, memory questions","rt_Restoring a Coral Reef, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"survey_page_changed_to_Restoring a Coral Reef, memory questions","order_Restoring a Coral Reef, memory questions","survey_page_changed_to_Hummingbird, memory questions","order_Hummingbird, memory questions","survey_page_changed_to_Animal Encounter, memory questions","order_Animal Encounter, memory questions","survey_page_changed_to_Life of a Tree, memory questions","order_Life of a Tree, memory questions","survey_page_changed_to_Restoring a Coral Reef, memory questions_1",internal_id,"rt_Restoring a Coral Reef, memory questions_1","survey_page_changed_to_Hummingbird, memory questions_1","rt_Hummingbird, memory questions_1","survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2","rt_Restoring a Coral Reef, memory questions_1_2",rt_general info_1,pageNumber,order_general info_1,order_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,"survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2_3","rt_Restoring a Coral Reef, memory questions_1_2_3","survey_page_changed_to_Life of a Tree, memory questions_1","rt_Life of a Tree, memory questions_1","survey_page_changed_to_Animal Encounter, memory questions_1","rt_Animal Encounter, memory questions_1",survey_page_changed_to_demographics_1_2,rt_demographics_1_2,testxr_participant_id,testxr_uuid,survey_page_changed_to_general info_1,rt_general info_1_2,survey_page_changed_to_demographics_1_2_3,rt_demographics_1_2_3
﻿,0,,,2023-06-22 09:52:52.569186,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60e49deb007ba3db7bb73016,,,1,1,1,-3,1,1,1,1,1,1,1,1,-2,-1,-2,10,8,3,29,19,20,,29,,136,2m:16s,AnonymousUser,60e49deb007ba3db7bb73016,647e16b65f06df7a3ddcb304,64940bcfd69365752b82c720,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60e49deb007ba3db7bb73016&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64940bcfd69365752b82c720,None,71f2c838-1c8c-4131-9e7e-4c3bbc34c9e5,1,10,2,18,3,,,,,21,4,91,6,50,5,110,,70,18088,21,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:55:39.079281,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,63d40acabb1c70df419c1267,,,1,1,1,-1,1,1,1,-3,1,1,1,1,-1,1,-1,29,8,12,38,29,36,23,38,1,216,3m:36s,AnonymousUser,63d40acabb1c70df419c1267,647e1923e8479d52e088a84c,64940c589a44a8968c02727b,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=63d40acabb1c70df419c1267&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940c589a44a8968c02727b,None,3c5d7799-9802-40b7-8316-08b205dd22fc,1,30,2,38,3,,,,,51,4,90,5,119,6,155,7,179,18089,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:55:39.395114,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5ea9890b7baf810a13bcdb56,,,1,-2,1,-2,1,1,1,1,1,-2,1,1,-2,-2,-2,8,5,4,30,10,,16,30,,106,1m:46s,AnonymousUser,5ea9890b7baf810a13bcdb56,647e16b65f06df7a3ddcb304,64940c7d43da1ae372198dfb,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5ea9890b7baf810a13bcdb56&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64940c7d43da1ae372198dfb,None,4f08ebc3-4e85-4b9a-ba32-49978208b922,1,8,2,13,3,,,,,17,4,79,6,89,,47,5,63,18090,16,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:55:49.372796,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,628b938b2a14e5c3e9ede879,,,1,-3,1,1,1,-3,1,1,1,-2,-1,-2,1,-3,-2,5,9,2,63,33,19,,63,,179,2m:59s,AnonymousUser,628b938b2a14e5c3e9ede879,647e17c51e8a3d081bc279dc,64940c84ae1f49628d32faaa,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=628b938b2a14e5c3e9ede879&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940c84ae1f49628d32faaa,None,3755c9a5-616d-453a-9352-35e6d6c35d28,1,5,2,15,3,,,,,69,6,17,4,50,5,163,,132,18091,31,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:55:59.400734,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5c7d99958a346200123436ff,,,1,-2,-3,-1,1,1,1,1,1,-2,1,-2,1,-2,1,33,17,10,54,,45,44,54,,405,6m:45s,AnonymousUser,5c7d99958a346200123436ff,647e1923e8479d52e088a84c,64940c576cba218e30f63a1c,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5c7d99958a346200123436ff&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940c576cba218e30f63a1c,None,28511e6d-64a2-4726-8ba6-bb1731dc90cd,1,33,2,50,3,,,,,60,4,371,,114,5,326,6,159,18092,167,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:56:05.815565,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,6447ccd602f2904fd0b846d7,,,1,-2,1,1,-3,1,1,1,1,1,1,-2,-1,-3,-2,11,5,6,37,,46,18,37,2,170,2m:50s,AnonymousUser,6447ccd602f2904fd0b846d7,647e1923e8479d52e088a84c,64940c80a3ee9fb9c4dd6026,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=6447ccd602f2904fd0b846d7&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940c80a3ee9fb9c4dd6026,None,57c45df6-8c85-46cd-9243-dcebe75cbe1c,1,13,2,18,3,,,,,24,4,154,,62,5,136,6,109,18093,27,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:56:47.937496,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5f1052ee7e2e472c3723c782,,,1,-3,-1,-1,1,1,1,1,1,-2,-1,1,-2,-3,1,14,21,5,25,,29,32,25,,183,3m:3s,AnonymousUser,5f1052ee7e2e472c3723c782,647e16b65f06df7a3ddcb304,64940cac8f84b0ab17bbb152,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5f1052ee7e2e472c3723c782&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64940cac8f84b0ab17bbb152,None,9c7a4187-4219-4174-a7df-7ef0dec68599,1,14,2,35,3,,,,,69,5,152,,40,4,94,6,126,18094,26,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:57:11.987236,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5f8f436e4676a71879786b95,,,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-2,-1,-3,15,7,6,22,17,18,,22,,137,2m:17s,AnonymousUser,5f8f436e4676a71879786b95,647e17c51e8a3d081bc279dc,64940cc9e7219cdfffe5e329,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5f8f436e4676a71879786b95&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940cc9e7219cdfffe5e329,None,b5a72129-58be-4a94-a4b8-f40b10b4d60a,1,15,2,22,3,,,50,2,28,4,75,6,57,5,121,,52,18095,5,,,92,29,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:57:12.992220,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,6384cfc62b6bf7a232ade8cb,,,-3,1,-2,1,1,-1,-1,-1,-2,-3,-2,1,-2,-3,1,6,10,18,31,40,,52,31,,222,3m:42s,AnonymousUser,6384cfc62b6bf7a232ade8cb,647e17c51e8a3d081bc279dc,64940cac9686f5672072e797,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=6384cfc62b6bf7a232ade8cb&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940cac9686f5672072e797,None,410edf15-b6fb-4bd0-a2a1-6e21ba020fad,1,6,2,16,3,,,,,87,5,165,6,205,,34,4,118,18096,47,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:57:49.004134,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5c1c9db374ad0b000153095e,,,1,-2,-1,-2,1,-3,-2,-1,1,-3,-2,1,1,1,-1,17,9,2,84,,24,82,84,1,286,4m:46s,AnonymousUser,5c1c9db374ad0b000153095e,647e1923e8479d52e088a84c,64940cf1e4917919ea22e186,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5c1c9db374ad0b000153095e&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940cf1e4917919ea22e186,None,2da5802f-2ab1-4c8a-a6db-3a8f7dc7821e,1,18,2,27,3,,,,,29,4,272,,248,6,166,5,113,18097,53,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:57:49.559713,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,63ea88e62f54ec96a1f8dadb,,,-3,-1,-2,-1,1,1,1,-3,1,1,-2,-3,-2,-3,1,14,17,2,19,9,10,,19,,85,1m:25s,AnonymousUser,63ea88e62f54ec96a1f8dadb,647e1923e8479d52e088a84c,64940cf283478084e1138770,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=63ea88e62f54ec96a1f8dadb&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940cf283478084e1138770,None,5b4d154c-ddd3-4b12-a6aa-d4578831b114,1,14,2,31,3,,,,,33,4,52,5,70,6,81,,61,18098,9,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:58:56.788819,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5f3bd7675365a593f7872e30,,,1,-2,1,-1,1,1,1,1,1,-2,-1,-1,-3,-2,-2,114,57,3,26,,20,26,26,,307,5m:7s,AnonymousUser,5f3bd7675365a593f7872e30,647e17c51e8a3d081bc279dc,64940cd85228579e26bdc0c5,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5f3bd7675365a593f7872e30&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940cd85228579e26bdc0c5,None,c37f4ea4-f235-4196-99f5-f12ea4f70654,1,114,2,171,3,,,,,220,6,274,,200,5,174,4,246,18099,28,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:00:06.104916,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,63d13ca7d896eababf86d150,,,1,-2,-1,1,,1,1,1,1,1,1,1,1,-3,-1,224,14,1,11,41,58,85,11,,476,7m:56s,AnonymousUser,63d13ca7d896eababf86d150,647e17c51e8a3d081bc279dc,64940caa36efa4e082dd5fbd,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=63d13ca7d896eababf86d150&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940caa36efa4e082dd5fbd,None,828f0bc1-0567-4626-aa0f-f31220e1c3a1,1,224,2,238,3,,,,,383,6,394,7,240,4,298,5,435,18100,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:00:16.341919,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,642c28cf8ec931ca8719dba6,,,1,1,-1,1,-2,-2,1,1,1,-2,1,-1,-2,-1,-3,4,3,10,59,,53,24,59,7,206,3m:26s,AnonymousUser,642c28cf8ec931ca8719dba6,647e16b65f06df7a3ddcb304,64940d9207bead5147ed8a0f,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=642c28cf8ec931ca8719dba6&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=64940d9207bead5147ed8a0f,None,6755fd0f-fde4-4316-91ca-4a6169537bd9,1,4,2,14,3,,14,,,77,5,175,,24,4,151,6,136,18101,15,,,,,!issue with timing as trial ended that was not registered as current trial,,1,2,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:01:10.141210,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5b6d76ab71ee46000112e7b0,,,-2,-2,-2,-1,1,1,1,1,-2,1,1,1,-1,-1,1,27,13,8,26,15,36,,26,,233,3m:53s,AnonymousUser,5b6d76ab71ee46000112e7b0,647e1923e8479d52e088a84c,64940d78fcfcd11e50939060,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5b6d76ab71ee46000112e7b0&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940d78fcfcd11e50939060,None,3ad4e92e-30f6-436a-bb4e-2f3c2898430b,1,27,2,40,3,66,1,63,3,144,6,48,4,108,5,212,,170,18102,42,74,34,,,,,,,67,7,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:01:19.900784,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,62da562ad9942a440f6986c9,,,1,-1,1,1,1,1,1,1,1,-2,1,1,1,-2,-1,30,13,7,57,34,30,,57,,289,4m:49s,AnonymousUser,62da562ad9942a440f6986c9,647e17c51e8a3d081bc279dc,64940dae08a62d6b8131b01e,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=62da562ad9942a440f6986c9&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940dae08a62d6b8131b01e,None,da757161-da98-4c87-8ddb-a36b6dac83d5,1,30,2,43,3,,,,,50,4,107,5,141,6,211,,171,18103,40,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:02:27.776793,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,62e15cf3292b1d7059206b0c,,,-2,1,-1,-1,1,1,1,1,1,-2,-1,-1,-2,-3,-1,33,48,12,85,42,,42,85,1,359,5m:59s,AnonymousUser,62e15cf3292b1d7059206b0c,647e1923e8479d52e088a84c,64940dafa70a8631745c083c,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=62e15cf3292b1d7059206b0c&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940dafa70a8631745c083c,None,bd839db2-1598-4971-8d8b-25cae9895bc0,1,34,2,82,3,,,,,94,4,270,6,312,,179,5,221,18104,49,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 10:02:34.692282,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5d12ce9596919a0019367dd4,,,1,1,-1,-1,1,1,1,1,1,-1,-2,-1,-2,1,-2,41,39,11,53,51,,45,53,,333,5m:33s,AnonymousUser,5d12ce9596919a0019367dd4,647e17c51e8a3d081bc279dc,64940db4718efa54f7d91b59,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5d12ce9596919a0019367dd4&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940db4718efa54f7d91b59,None,4ae85209-6d47-422e-a097-c9cadf548a7a,1,41,2,80,3,,,,,142,5,91,4,297,,195,6,240,18105,57,,,,,,,,,,,,,,,,,,,,,,,,
