username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_el_1,Q_el_2,Q_el_3,Q_ay_1,Q_ay_2,Q_ay_3,Q_sp_1,Q_sp_2,Q_sp_3,Q_dd_1,Q_dd_2,Q_dd_3,Q_ss_1,Q_ss_2,Q_ss_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Filter my world, memory questions","rt_Filter about Artify Yourself, memory questions","rt_Filter about a Shadow Puppet Show, memory questions","rt_Filter about a Dance with Durga, memory questions",rt_Filter about Stories for Stitches,survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_Filter about Stories for Stitches,order_Filter about Stories for Stitches,"survey_page_changed_to_Filter my world, memory questions","order_Filter my world, memory questions","survey_page_changed_to_Filter about a Dance with Durga, memory questions","order_Filter about a Dance with Durga, memory questions","survey_page_changed_to_Filter about Artify Yourself, memory questions","order_Filter about Artify Yourself, memory questions","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions",internal_id,"order_Filter about a Shadow Puppet Show, memory questions",survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,survey_page_changed_to_Filter about Stories for Stitches_1,rt_Filter about Stories for Stitches_1,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,pageNumber,rt_general info_1,order_general info_1,"survey_page_changed_to_Filter my world, memory questions_1","rt_Filter my world, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1",Q_dd_1-Comment,survey_page_changed_to_demographics_1_2,rt_demographics_1_2,order_demographics_1,order_intro_to_mem_qs_1,survey_page_changed_to_intro_to_mem_qs_1_2_3,survey_page_changed_to_demographics_1_2_3,survey_page_changed_to_demographics_1_2_3_4,rt_demographics_1_2_3,survey_page_changed_to_intro_to_mem_qs_1_2_3_4,rt_intro_to_mem_qs_1_2_3,survey_page_changed_to_Filter about Stories for Stitches_1_2,rt_Filter about Stories for Stitches_1_2,"survey_page_changed_to_Filter about Artify Yourself, memory questions_1","rt_Filter about Artify Yourself, memory questions_1","rt_Filter about a Dance with Durga, memory questions_1","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions_1","rt_Filter about a Shadow Puppet Show, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1_2","rt_Filter about a Dance with Durga, memory questions_1_2",testxr_participant_id,testxr_uuid
﻿,0,,,2023-06-14 12:38:32.282813,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,609a0fa06cfe6658d4c1a4f3,,,-3,1,-3,1,1,-3,-1,-1,-2,1,-1,1,1,-2,-1,74,10,7,,25,19,13,13,,174,2m:54s,AnonymousUser,609a0fa06cfe6658d4c1a4f3,647e14799b46b0e21c3c5ce1,6489a65f2bb064bc1280e151,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=609a0fa06cfe6658d4c1a4f3&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a65f2bb064bc1280e151,None,645d84a2-2813-47cd-931a-6f21fe3cc818,1,74,2,84,3,91,4,161,,148,7,104,5,129,17291,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:39:01.592241,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,60aa79fa99f7d53701b02256,,,-2,-3,-2,1,-3,-2,-1,1,1,-2,-1,-2,-3,-2,-3,9,26,4,17,,147,24,26,,321,5m:21s,AnonymousUser,60aa79fa99f7d53701b02256,647e14799b46b0e21c3c5ce1,6489a6b17ae9845c3c919cd9,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=60aa79fa99f7d53701b02256&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a6b17ae9845c3c919cd9,None,cc2a485f-fa56-47be-ab2b-995db0f2b1a7,1,9,2,35,3,39,4,236,7,65,5,253,,89,17292,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:40:15.924840,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,604b6aea586d035690aa609f,,,1,-2,1,-1,1,-1,-1,-1,-2,-3,1,-2,-2,1,,7,18,2,6,,144,7,28,,217,3m:37s,AnonymousUser,604b6aea586d035690aa609f,647e14799b46b0e21c3c5ce1,6489a71345f3798d9327d28e,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=604b6aea586d035690aa609f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a71345f3798d9327d28e,None,59c0431f-f6c8-497e-92dd-f80788fa35c2,1,7,2,25,3,27,4,62,6,55,5,212,,68,17293,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:43:55.953600,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,632361bf965e0257e6052357,,,-2,-1,-2,1,-1,-3,1,-1,-3,-1,-3,-1,-3,-2,1,23,5,3,,21,22,39,25,,156,2m:36s,AnonymousUser,632361bf965e0257e6052357,647e14799b46b0e21c3c5ce1,6489a736e0f2bf05cc03e996,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=632361bf965e0257e6052357&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a736e0f2bf05cc03e996,None,4b2a05b9-ee59-4005-babf-951d8c34e877,1,23,2,28,3,31,4,140,,56,5,96,6,117,17294,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:45:21.043985,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63d8f7d89074151d44f56a23,,,1,1,-1,1,-3,-3,-1,-1,1,-2,-1,-2,-2,1,1,32,10,35,87,40,,20,93,,339,5m:39s,AnonymousUser,63d8f7d89074151d44f56a23,647e14799b46b0e21c3c5ce1,6489a825cfb473099a00c585,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63d8f7d89074151d44f56a23&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a825cfb473099a00c585,None,0a072acf-1394-48d9-bf18-61a8d417c217,1,32,2,42,3,77,4,170,5,297,7,257,6,317,17295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:46:23.126287,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,6275abead4ed5c70eb5e5649,,,-2,1,-1,-3,-3,-2,-3,-1,-2,-1,-2,1,-2,-2,-1,3,7,6,,24,18,17,15,,103,1m:43s,AnonymousUser,6275abead4ed5c70eb5e5649,647e14799b46b0e21c3c5ce1,6489a83935ba482101e65cf1,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=6275abead4ed5c70eb5e5649&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a83935ba482101e65cf1,None,fe9de9a8-44e0-4ba4-93d8-43b1f529e756,1,3,2,10,3,16,4,91,,55,6,31,5,73,17296,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:46:47.180194,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5a622a7f35f26b0001490a5f,,,,-3,-2,-2,-3,1,-2,,-2,-2,-2,-1,-2,-1,1,10,6,3,18,,24,23,21,,120,2m:0s,AnonymousUser,5a622a7f35f26b0001490a5f,647e14799b46b0e21c3c5ce1,6489a84d63719a73a600670a,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5a622a7f35f26b0001490a5f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a84d63719a73a600670a,None,62845830-5fb4-4eee-83ca-282ee9c62209,1,10,2,16,3,19,4,40,5,83,7,106,,59,17297,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:47:22.270137,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,64135e5651180cd4c2843e4f,,,1,1,-2,1,1,-2,-2,1,1,1,1,-1,-1,-2,-3,12,28,4,30,25,,27,24,,171,2m:51s,AnonymousUser,64135e5651180cd4c2843e4f,647e14799b46b0e21c3c5ce1,6489a8940c5bd4a5a85e165b,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=64135e5651180cd4c2843e4f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a8940c5bd4a5a85e165b,None,1567288c-1af8-4d73-be28-32420a4acddb,1,12,2,40,3,44,4,120,7,93,6,68,5,150,17298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:47:54.403468,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63f77f79278126e103659cf4,,,1,-3,-1,-3,-3,1,1,1,1,1,1,1,1,1,-1,20,13,6,13,21,21,,23,,136,2m:16s,AnonymousUser,63f77f79278126e103659cf4,647e14799b46b0e21c3c5ce1,6489a8c6f38ff4bb402fa0ac,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63f77f79278126e103659cf4&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a8c6f38ff4bb402fa0ac,None,2d1e7597-7c1c-44c8-b835-60a7711efe3e,1,20,2,33,3,39,4,105,7,118,,62,5,83,17299,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:50:06.746462,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,6450ca7370b4914f3e8822c6,,,1,-3,1,1,-3,1,-1,1,-2,1,-1,-1,1,-2,-3,21,16,9,16,22,24,,22,,143,2m:23s,AnonymousUser,6450ca7370b4914f3e8822c6,647e14799b46b0e21c3c5ce1,6489a92114ad7005a4c44f56,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=6450ca7370b4914f3e8822c6&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a92114ad7005a4c44f56,None,7cdcb81f-1c4e-4cce-83e7-81fff813e4df,1,21,2,37,3,46,4,114,7,130,,92,6,68,17300,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:51:38.187931,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5b9d5790d8e14b00011b3a71,,,1,-2,-2,1,-3,-1,-2,1,1,-3,-3,1,-2,-3,-3,21,15,67,19,24,,20,60,,267,4m:27s,AnonymousUser,5b9d5790d8e14b00011b3a71,647e14799b46b0e21c3c5ce1,6489a99ef38ff4bb402fa0c4,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5b9d5790d8e14b00011b3a71&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a99ef38ff4bb402fa0c4,None,ea30afcd-543b-4c0e-9831-2162dfbc367a,1,21,2,36,3,103,4,208,7,163,5,184,6,227,17301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:51:49.220998,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5e6e0ba33c76d23b3521aeac,,,-2,1,-2,-2,-1,-3,-2,1,-3,-3,-1,-2,-2,-3,-2,6,7,1,10,,18,12,25,,96,1m:36s,AnonymousUser,5e6e0ba33c76d23b3521aeac,647e14799b46b0e21c3c5ce1,6489a9c7755e8cbf9c967e20,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5e6e0ba33c76d23b3521aeac&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a9c7755e8cbf9c967e20,None,e2d5198d-b131-46f9-884b-0a85885de06e,1,6,2,13,3,14,4,71,7,58,6,81,,40,17302,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:51:51.378659,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,574027971407a30010773dd7,,,,1,1,1,-3,-2,-3,-1,-1,1,1,-2,-2,-1,-2,8,9,6,12,13,,43,15,1,123,2m:3s,AnonymousUser,574027971407a30010773dd7,647e14799b46b0e21c3c5ce1,6489a9c493731fbe53f6ad93,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=574027971407a30010773dd7&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a9c493731fbe53f6ad93,None,41d010b1-dfbb-4a78-be2e-56123c0c7fbf,1,9,2,18,3,25,4,98,7,41,5,85,6,110,17303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:53:03.023814,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5eb84ddb1aa1b479b631a1fb,,,1,-3,-1,1,-3,1,-1,1,1,-3,1,-1,-1,-2,-1,11,5,1,9,17,,18,17,,93,1m:33s,AnonymousUser,5eb84ddb1aa1b479b631a1fb,647e14799b46b0e21c3c5ce1,6489aa0c43103d26babed60d,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5eb84ddb1aa1b479b631a1fb&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489aa0c43103d26babed60d,None,acdb3c27-7d70-4609-87a6-dc433608fb1a,1,11,2,16,3,17,4,51,6,60,7,34,5,78,17304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:54:21.821420,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5d960ffd35a770001a9a0592,,,1,-1,-3,-3,1,-2,-3,1,-1,1,1,-2,-2,-3,-2,53,12,2,,30,37,39,33,,225,3m:45s,AnonymousUser,5d960ffd35a770001a9a0592,647e14799b46b0e21c3c5ce1,6489aa32365745d0d076cbd2,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5d960ffd35a770001a9a0592&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489aa32365745d0d076cbd2,None,0f2c5d2c-35fe-4247-915c-159afd6e0f9a,1,53,2,65,3,67,4,208,,101,5,178,7,140,17305,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:56:08.908177,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5be1fe1eca095c0001ba077a,,,-3,-2,1,1,1,-3,1,-1,1,-2,-2,1,-1,-2,-3,13,14,13,24,31,,46,32,,227,3m:47s,AnonymousUser,5be1fe1eca095c0001ba077a,647e14799b46b0e21c3c5ce1,6489aac02bc33a1aa2956103,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5be1fe1eca095c0001ba077a&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489aac02bc33a1aa2956103,None,a14fedcf-e69a-401a-80df-e678bde6c2c2,1,13,2,27,3,40,4,103,6,127,7,72,5,173,17306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
